Date,Campaign,Channel,Campaign Type,Impressions,Clicks,CTR (%),Avg CPC ($),Spend ($),Conversions,Conv Rate (%),Cost/Conv ($),Revenue ($),ROAS
2026-02-07,"Spring Sale 2026 – Search",Google Ads,Search,4194,243,5.79,1.97,478.42,18,7.55,26.58,1203.74,2.52
2026-02-07,"Spring Sale 2026 – Display",Google Ads,Display,22342,121,0.54,0.57,68.88,2,1.29,34.44,144.44,2.10
2026-02-07,"Brand Awareness – Feed Ads",Meta (Facebook),Paid Social,27218,510,1.87,0.87,445.03,9,1.76,49.45,878.46,1.97
2026-02-07,"Brand Awareness – Stories",Meta (Instagram),Paid Social,22037,390,1.77,0.62,240.43,4,1.13,60.11,288.40,1.20
2026-02-07,"B2B Lead Gen – Sponsored Content",LinkedIn,Paid Social,3064,36,1.17,8.13,292.67,2,4.32,146.33,0.00,0.00
2026-02-07,"Product Launch – Video Ads",TikTok,Paid Social,90406,1191,1.32,0.33,394.04,10,0.81,39.40,331.99,0.84
2026-02-07,"Retargeting – Dynamic Product Ads",Meta (Facebook),Retargeting,11978,428,3.57,1.34,572.61,44,10.20,13.01,6448.17,11.26
2026-02-07,"Email Nurture – Weekly Newsletter",Email,Email,12238,19,0.16,0.00,20.01,1,3.29,20.01,102.52,5.12
2026-02-08,"Spring Sale 2026 – Search",Google Ads,Search,3804,189,4.97,1.89,356.52,14,7.16,25.47,1565.95,4.39
2026-02-08,"Spring Sale 2026 – Display",Google Ads,Display,30745,215,0.70,0.67,145.01,2,1.12,72.51,111.52,0.77
2026-02-08,"Brand Awareness – Feed Ads",Meta (Facebook),Paid Social,27255,368,1.35,0.73,267.98,7,1.98,38.28,625.05,2.33
2026-02-08,"Brand Awareness – Stories",Meta (Instagram),Paid Social,13363,188,1.41,0.59,110.03,2,1.19,55.01,153.43,1.39
2026-02-08,"B2B Lead Gen – Sponsored Content",LinkedIn,Paid Social,2003,16,0.80,11.56,184.96,0,3.11,"–",0.00,0.00
2026-02-08,"Product Launch – Video Ads",TikTok,Paid Social,50086,420,0.84,0.44,186.24,6,1.35,31.04,321.90,1.73
2026-02-08,"Retargeting – Dynamic Product Ads",Meta (Facebook),Retargeting,6686,266,3.98,0.91,241.24,16,5.91,15.08,1346.31,5.58
2026-02-08,"Email Nurture – Weekly Newsletter",Email,Email,12018,29,0.24,0.00,18.98,1,2.15,18.98,100.57,5.30
2026-02-09,"Spring Sale 2026 – Search",Google Ads,Search,7069,310,4.39,2.59,804.21,19,6.20,42.33,1957.10,2.43
2026-02-09,"Spring Sale 2026 – Display",Google Ads,Display,51318,407,0.79,0.47,189.48,7,1.68,27.07,415.47,2.19
2026-02-09,"Brand Awareness – Feed Ads",Meta (Facebook),Paid Social,28153,562,2.00,0.63,353.48,13,2.30,27.19,1133.51,3.21
2026-02-09,"Brand Awareness – Stories",Meta (Instagram),Paid Social,20670,222,1.07,0.74,164.24,3,1.52,54.75,223.03,1.36
2026-02-09,"B2B Lead Gen – Sponsored Content",LinkedIn,Paid Social,8905,66,0.74,10.18,671.92,4,6.11,167.98,0.00,0.00
2026-02-09,"Product Launch – Video Ads",TikTok,Paid Social,78297,778,0.99,0.35,273.54,6,0.82,45.59,218.92,0.80
2026-02-09,"Retargeting – Dynamic Product Ads",Meta (Facebook),Retargeting,11557,448,3.88,1.37,612.12,48,10.80,12.75,6072.63,9.92
2026-02-09,"Email Nurture – Weekly Newsletter",Email,Email,12002,85,0.71,0.00,18.96,4,4.23,4.74,314.33,16.58
2026-02-10,"Spring Sale 2026 – Search",Google Ads,Search,6123,281,4.59,1.43,400.85,15,5.27,26.72,2018.45,5.04
2026-02-10,"Spring Sale 2026 – Display",Google Ads,Display,51139,330,0.65,0.64,211.69,4,1.21,52.92,272.34,1.29
2026-02-10,"Brand Awareness – Feed Ads",Meta (Facebook),Paid Social,29058,571,1.97,0.63,360.37,17,2.98,21.20,1554.19,4.31
2026-02-10,"Brand Awareness – Stories",Meta (Instagram),Paid Social,15161,148,0.98,0.81,119.81,2,1.53,59.90,184.94,1.54
2026-02-10,"B2B Lead Gen – Sponsored Content",LinkedIn,Paid Social,12128,136,1.12,7.84,1066.70,6,4.32,177.78,0.00,0.00
2026-02-10,"Product Launch – Video Ads",TikTok,Paid Social,53096,587,1.11,0.47,276.85,8,1.31,34.61,545.62,1.97
2026-02-10,"Retargeting – Dynamic Product Ads",Meta (Facebook),Retargeting,11091,240,2.16,0.76,182.84,18,7.30,10.16,2361.99,12.92
2026-02-10,"Email Nurture – Weekly Newsletter",Email,Email,12312,65,0.53,0.00,27.40,3,4.45,9.13,170.28,6.21
2026-02-11,"Spring Sale 2026 – Search",Google Ads,Search,5982,325,5.43,2.61,847.77,21,6.35,40.37,1788.32,2.11
2026-02-11,"Spring Sale 2026 – Display",Google Ads,Display,40081,314,0.78,0.64,201.78,4,1.28,50.44,274.99,1.36
2026-02-11,"Brand Awareness – Feed Ads",Meta (Facebook),Paid Social,21209,234,1.10,0.62,145.19,7,3.18,20.74,674.74,4.65
2026-02-11,"Brand Awareness – Stories",Meta (Instagram),Paid Social,16931,137,0.81,0.41,55.80,2,1.33,27.90,126.66,2.27
2026-02-11,"B2B Lead Gen – Sponsored Content",LinkedIn,Paid Social,9759,111,1.14,8.19,909.17,5,4.80,181.83,0.00,0.00
2026-02-11,"Product Launch – Video Ads",TikTok,Paid Social,75036,497,0.66,0.54,266.41,4,0.73,66.60,274.28,1.03
2026-02-11,"Retargeting – Dynamic Product Ads",Meta (Facebook),Retargeting,12598,315,2.50,0.63,198.14,27,8.72,7.34,3161.39,15.96
2026-02-11,"Email Nurture – Weekly Newsletter",Email,Email,12072,107,0.89,0.00,30.11,5,4.38,6.02,443.90,14.74
2026-02-12,"Spring Sale 2026 – Search",Google Ads,Search,5684,277,4.87,1.31,363.07,22,7.96,16.50,1760.44,4.85
2026-02-12,"Spring Sale 2026 – Display",Google Ads,Display,56086,415,0.74,0.58,238.90,7,1.79,34.13,366.81,1.54
2026-02-12,"Brand Awareness – Feed Ads",Meta (Facebook),Paid Social,31885,449,1.41,1.07,479.33,8,1.87,59.92,870.21,1.82
2026-02-12,"Brand Awareness – Stories",Meta (Instagram),Paid Social,13699,240,1.75,0.85,203.52,5,2.20,40.70,443.59,2.18
2026-02-12,"B2B Lead Gen – Sponsored Content",LinkedIn,Paid Social,12507,85,0.68,8.04,683.48,3,3.69,227.83,0.00,0.00
2026-02-12,"Product Launch – Video Ads",TikTok,Paid Social,48293,492,1.02,0.50,248.46,6,1.26,41.41,212.58,0.86
2026-02-12,"Retargeting – Dynamic Product Ads",Meta (Facebook),Retargeting,9900,416,4.20,0.80,331.03,32,7.62,10.34,4423.83,13.36
2026-02-12,"Email Nurture – Weekly Newsletter",Email,Email,12114,48,0.40,0.00,21.06,2,4.99,10.53,170.91,8.12
2026-02-13,"Spring Sale 2026 – Search",Google Ads,Search,5492,358,6.52,2.45,878.87,22,6.11,39.95,2558.63,2.91
2026-02-13,"Spring Sale 2026 – Display",Google Ads,Display,40178,247,0.61,0.51,126.97,5,1.88,25.39,375.39,2.96
2026-02-13,"Brand Awareness – Feed Ads",Meta (Facebook),Paid Social,27148,603,2.22,0.76,455.80,21,3.44,21.70,1446.50,3.17
2026-02-13,"Brand Awareness – Stories",Meta (Instagram),Paid Social,22592,181,0.80,0.80,145.14,2,1.37,72.57,186.46,1.28
2026-02-13,"B2B Lead Gen – Sponsored Content",LinkedIn,Paid Social,7821,44,0.56,8.03,353.27,3,6.01,117.76,0.00,0.00
2026-02-13,"Product Launch – Video Ads",TikTok,Paid Social,82117,728,0.89,0.50,363.82,5,0.76,72.76,273.43,0.75
2026-02-13,"Retargeting – Dynamic Product Ads",Meta (Facebook),Retargeting,14514,443,3.05,1.20,529.81,41,9.18,12.92,3023.39,5.71
2026-02-13,"Email Nurture – Weekly Newsletter",Email,Email,12410,61,0.49,0.00,27.49,2,2.59,13.74,193.96,7.06
2026-02-14,"Spring Sale 2026 – Search",Google Ads,Search,3474,212,6.10,2.33,494.63,17,7.82,29.10,1362.10,2.75
2026-02-14,"Spring Sale 2026 – Display",Google Ads,Display,24450,162,0.66,0.65,104.89,2,1.30,52.45,124.62,1.19
2026-02-14,"Brand Awareness – Feed Ads",Meta (Facebook),Paid Social,25177,555,2.20,0.95,525.10,19,3.44,27.64,1279.69,2.44
2026-02-14,"Brand Awareness – Stories",Meta (Instagram),Paid Social,20373,335,1.64,0.47,156.97,5,1.59,31.39,335.13,2.14
2026-02-14,"B2B Lead Gen – Sponsored Content",LinkedIn,Paid Social,1861,15,0.81,6.85,102.73,1,5.64,102.73,0.00,0.00
2026-02-14,"Product Launch – Video Ads",TikTok,Paid Social,52384,725,1.38,0.23,169.99,7,0.99,24.28,432.49,2.54
2026-02-14,"Retargeting – Dynamic Product Ads",Meta (Facebook),Retargeting,11877,288,2.42,0.93,266.97,16,5.62,16.69,2106.09,7.89
2026-02-14,"Email Nurture – Weekly Newsletter",Email,Email,12045,20,0.17,0.00,32.71,0,2.22,"–",0.00,0.00
2026-02-15,"Spring Sale 2026 – Search",Google Ads,Search,3374,177,5.25,2.45,433.41,10,5.62,43.34,1127.31,2.60
2026-02-15,"Spring Sale 2026 – Display",Google Ads,Display,25126,98,0.39,0.72,70.24,2,1.83,35.12,174.66,2.49
2026-02-15,"Brand Awareness – Feed Ads",Meta (Facebook),Paid Social,25079,488,1.95,0.76,368.71,14,2.97,26.34,915.16,2.48
2026-02-15,"Brand Awareness – Stories",Meta (Instagram),Paid Social,18257,270,1.48,0.70,188.28,4,1.43,47.07,281.13,1.49
2026-02-15,"B2B Lead Gen – Sponsored Content",LinkedIn,Paid Social,2633,14,0.53,8.82,123.47,1,6.34,123.47,0.00,0.00
2026-02-15,"Product Launch – Video Ads",TikTok,Paid Social,79821,863,1.08,0.52,445.75,11,1.24,40.52,547.42,1.23
2026-02-15,"Retargeting – Dynamic Product Ads",Meta (Facebook),Retargeting,8185,285,3.48,1.25,355.85,15,5.17,23.72,1403.23,3.94
2026-02-15,"Email Nurture – Weekly Newsletter",Email,Email,12369,31,0.25,0.00,30.49,2,4.98,15.24,225.18,7.39
2026-02-16,"Spring Sale 2026 – Search",Google Ads,Search,7751,442,5.70,2.43,1074.60,23,5.26,46.72,2735.17,2.55
2026-02-16,"Spring Sale 2026 – Display",Google Ads,Display,36999,119,0.32,0.62,73.53,2,1.33,36.77,189.84,2.58
2026-02-16,"Brand Awareness – Feed Ads",Meta (Facebook),Paid Social,25486,497,1.95,1.01,500.99,13,2.62,38.54,1317.25,2.63
2026-02-16,"Brand Awareness – Stories",Meta (Instagram),Paid Social,23460,313,1.33,0.44,138.65,8,2.43,17.33,587.06,4.23
2026-02-16,"B2B Lead Gen – Sponsored Content",LinkedIn,Paid Social,10016,101,1.01,8.33,841.47,3,3.35,280.49,0.00,0.00
2026-02-16,"Product Launch – Video Ads",TikTok,Paid Social,53257,751,1.41,0.50,376.25,9,1.16,41.81,326.87,0.87
2026-02-16,"Retargeting – Dynamic Product Ads",Meta (Facebook),Retargeting,8737,229,2.62,1.20,273.78,12,5.41,22.82,1582.04,5.78
2026-02-16,"Email Nurture – Weekly Newsletter",Email,Email,12248,84,0.69,0.00,23.64,3,3.86,7.88,175.65,7.43
2026-02-17,"Spring Sale 2026 – Search",Google Ads,Search,7454,579,7.77,2.13,1234.26,46,7.96,26.83,5439.98,4.41
2026-02-17,"Spring Sale 2026 – Display",Google Ads,Display,41530,324,0.78,0.48,156.86,6,1.95,26.14,289.00,1.84
2026-02-17,"Brand Awareness – Feed Ads",Meta (Facebook),Paid Social,22895,410,1.79,0.97,397.91,14,3.32,28.42,1298.94,3.26
2026-02-17,"Brand Awareness – Stories",Meta (Instagram),Paid Social,17398,307,1.76,0.71,216.84,3,1.04,72.28,165.94,0.77
2026-02-17,"B2B Lead Gen – Sponsored Content",LinkedIn,Paid Social,5636,29,0.51,11.84,343.33,1,3.99,343.33,0.00,0.00
2026-02-17,"Product Launch – Video Ads",TikTok,Paid Social,76955,1065,1.38,0.22,230.63,6,0.58,38.44,247.70,1.07
2026-02-17,"Retargeting – Dynamic Product Ads",Meta (Facebook),Retargeting,15623,550,3.52,0.82,448.26,43,7.81,10.42,6152.98,13.73
2026-02-17,"Email Nurture – Weekly Newsletter",Email,Email,12390,61,0.49,0.00,24.53,2,2.96,12.27,154.13,6.28
2026-02-18,"Spring Sale 2026 – Search",Google Ads,Search,4962,217,4.37,1.28,276.69,14,6.60,19.76,967.28,3.50
2026-02-18,"Spring Sale 2026 – Display",Google Ads,Display,54424,165,0.30,0.64,106.15,2,1.44,53.07,125.11,1.18
2026-02-18,"Brand Awareness – Feed Ads",Meta (Facebook),Paid Social,21411,444,2.07,0.70,309.80,8,1.84,38.72,847.73,2.74
2026-02-18,"Brand Awareness – Stories",Meta (Instagram),Paid Social,19716,251,1.27,0.55,137.55,4,1.75,34.39,216.94,1.58
2026-02-18,"B2B Lead Gen – Sponsored Content",LinkedIn,Paid Social,6806,38,0.56,9.83,373.66,2,4.12,186.83,0.00,0.00
2026-02-18,"Product Launch – Video Ads",TikTok,Paid Social,62203,682,1.10,0.35,241.57,5,0.81,48.31,211.61,0.88
2026-02-18,"Retargeting – Dynamic Product Ads",Meta (Facebook),Retargeting,9619,300,3.12,0.72,216.21,33,10.87,6.55,3605.94,16.68
2026-02-18,"Email Nurture – Weekly Newsletter",Email,Email,12216,81,0.66,0.00,20.61,3,3.22,6.87,337.95,16.40
2026-02-19,"Spring Sale 2026 – Search",Google Ads,Search,6140,269,4.38,2.62,704.18,18,6.60,39.12,2010.55,2.86
2026-02-19,"Spring Sale 2026 – Display",Google Ads,Display,46309,174,0.38,0.62,107.62,1,0.84,107.62,83.99,0.78
2026-02-19,"Brand Awareness – Feed Ads",Meta (Facebook),Paid Social,30169,466,1.54,0.62,289.55,10,2.12,28.96,860.66,2.97
2026-02-19,"Brand Awareness – Stories",Meta (Instagram),Paid Social,14129,214,1.51,0.40,85.82,3,1.43,28.61,174.58,2.03
2026-02-19,"B2B Lead Gen – Sponsored Content",LinkedIn,Paid Social,9258,79,0.85,7.66,605.31,4,5.10,151.33,0.00,0.00
2026-02-19,"Product Launch – Video Ads",TikTok,Paid Social,51723,401,0.78,0.39,155.03,4,0.97,38.76,205.81,1.33
2026-02-19,"Retargeting – Dynamic Product Ads",Meta (Facebook),Retargeting,15066,383,2.54,1.31,503.06,28,7.35,17.97,2145.68,4.27
2026-02-19,"Email Nurture – Weekly Newsletter",Email,Email,12252,107,0.87,0.00,21.27,4,3.97,5.32,331.95,15.61
2026-02-20,"Spring Sale 2026 – Search",Google Ads,Search,7623,553,7.25,2.32,1285.04,32,5.70,40.16,2724.54,2.12
2026-02-20,"Spring Sale 2026 – Display",Google Ads,Display,51240,406,0.79,0.40,160.87,7,1.78,22.98,425.04,2.64
2026-02-20,"Brand Awareness – Feed Ads",Meta (Facebook),Paid Social,26470,642,2.43,0.82,523.61,12,1.91,43.63,1123.05,2.14
2026-02-20,"Brand Awareness – Stories",Meta (Instagram),Paid Social,22083,365,1.65,0.57,208.41,5,1.26,41.68,260.64,1.25
2026-02-20,"B2B Lead Gen – Sponsored Content",LinkedIn,Paid Social,7969,81,1.02,11.56,936.73,3,3.75,312.24,0.00,0.00
2026-02-20,"Product Launch – Video Ads",TikTok,Paid Social,72380,772,1.07,0.43,329.54,7,0.85,47.08,241.38,0.73
2026-02-20,"Retargeting – Dynamic Product Ads",Meta (Facebook),Retargeting,9417,300,3.19,1.11,333.98,22,7.48,15.18,2458.90,7.36
2026-02-20,"Email Nurture – Weekly Newsletter",Email,Email,12099,64,0.53,0.00,18.89,3,4.77,6.30,176.80,9.36
2026-02-21,"Spring Sale 2026 – Search",Google Ads,Search,4247,326,7.68,1.35,440.20,23,7.10,19.14,2811.56,6.39
2026-02-21,"Spring Sale 2026 – Display",Google Ads,Display,33043,107,0.32,0.48,51.88,2,1.56,25.94,104.80,2.02
2026-02-21,"Brand Awareness – Feed Ads",Meta (Facebook),Paid Social,32911,484,1.47,0.91,439.07,14,2.81,31.36,1457.87,3.32
2026-02-21,"Brand Awareness – Stories",Meta (Instagram),Paid Social,18525,287,1.55,0.83,237.40,3,1.11,79.13,281.74,1.19
2026-02-21,"B2B Lead Gen – Sponsored Content",LinkedIn,Paid Social,1603,11,0.69,5.62,61.84,0,3.24,"–",0.00,0.00
2026-02-21,"Product Launch – Video Ads",TikTok,Paid Social,85771,1284,1.50,0.35,445.82,19,1.49,23.46,919.01,2.06
2026-02-21,"Retargeting – Dynamic Product Ads",Meta (Facebook),Retargeting,10870,262,2.41,0.78,203.48,15,5.61,13.57,1535.56,7.55
2026-02-21,"Email Nurture – Weekly Newsletter",Email,Email,12043,28,0.23,0.00,33.62,1,4.96,33.62,62.27,1.85
2026-02-22,"Spring Sale 2026 – Search",Google Ads,Search,3083,198,6.42,1.42,282.02,13,6.48,21.69,1209.19,4.29
2026-02-22,"Spring Sale 2026 – Display",Google Ads,Display,39794,148,0.37,0.36,52.58,2,1.34,26.29,90.59,1.72
2026-02-22,"Brand Awareness – Feed Ads",Meta (Facebook),Paid Social,23458,389,1.66,0.65,251.66,8,1.99,31.46,518.55,2.06
2026-02-22,"Brand Awareness – Stories",Meta (Instagram),Paid Social,19432,272,1.40,0.49,133.39,5,1.70,26.68,264.33,1.98
2026-02-22,"B2B Lead Gen – Sponsored Content",LinkedIn,Paid Social,1791,9,0.50,7.12,64.07,0,3.59,"–",0.00,0.00
2026-02-22,"Product Launch – Video Ads",TikTok,Paid Social,88444,784,0.89,0.52,407.90,9,1.17,45.32,440.16,1.08
2026-02-22,"Retargeting – Dynamic Product Ads",Meta (Facebook),Retargeting,9126,346,3.79,0.92,319.30,21,6.05,15.20,3058.42,9.58
2026-02-22,"Email Nurture – Weekly Newsletter",Email,Email,12042,36,0.30,0.00,15.44,1,3.08,15.44,57.66,3.73
2026-02-23,"Spring Sale 2026 – Search",Google Ads,Search,5469,238,4.35,1.59,378.54,10,4.03,37.85,1312.50,3.47
2026-02-23,"Spring Sale 2026 – Display",Google Ads,Display,39610,130,0.33,0.47,60.81,1,1.08,60.81,78.74,1.29
2026-02-23,"Brand Awareness – Feed Ads",Meta (Facebook),Paid Social,20922,427,2.04,0.78,333.18,7,1.69,47.60,470.47,1.41
2026-02-23,"Brand Awareness – Stories",Meta (Instagram),Paid Social,13606,139,1.02,0.73,101.05,1,1.07,101.05,61.90,0.61
2026-02-23,"B2B Lead Gen – Sponsored Content",LinkedIn,Paid Social,12055,106,0.88,10.35,1096.95,7,6.88,156.71,0.00,0.00
2026-02-23,"Product Launch – Video Ads",TikTok,Paid Social,66369,628,0.95,0.40,248.34,4,0.62,62.08,201.64,0.81
2026-02-23,"Retargeting – Dynamic Product Ads",Meta (Facebook),Retargeting,12587,445,3.54,0.76,339.81,34,7.56,9.99,4643.19,13.66
2026-02-23,"Email Nurture – Weekly Newsletter",Email,Email,12341,40,0.32,0.00,25.06,2,4.34,12.53,230.12,9.18
2026-02-24,"Spring Sale 2026 – Search",Google Ads,Search,7572,382,5.04,1.69,646.54,25,6.44,25.86,1655.15,2.56
2026-02-24,"Spring Sale 2026 – Display",Google Ads,Display,40229,273,0.68,0.55,150.12,4,1.34,37.53,253.77,1.69
2026-02-24,"Brand Awareness – Feed Ads",Meta (Facebook),Paid Social,32954,351,1.07,0.57,200.82,10,2.87,20.08,565.92,2.82
2026-02-24,"Brand Awareness – Stories",Meta (Instagram),Paid Social,19744,216,1.09,0.65,140.72,3,1.59,46.91,291.44,2.07
2026-02-24,"B2B Lead Gen – Sponsored Content",LinkedIn,Paid Social,5631,44,0.78,9.80,431.03,2,3.98,215.51,0.00,0.00
2026-02-24,"Product Launch – Video Ads",TikTok,Paid Social,80623,993,1.23,0.26,259.95,11,1.14,23.63,809.68,3.11
2026-02-24,"Retargeting – Dynamic Product Ads",Meta (Facebook),Retargeting,14564,376,2.58,1.24,466.02,23,6.10,20.26,1728.08,3.71
2026-02-24,"Email Nurture – Weekly Newsletter",Email,Email,12340,64,0.52,0.00,24.30,3,4.68,8.10,278.88,11.48
2026-02-25,"Spring Sale 2026 – Search",Google Ads,Search,6791,429,6.32,2.09,895.50,28,6.48,31.98,3864.64,4.32
2026-02-25,"Spring Sale 2026 – Display",Google Ads,Display,59927,321,0.54,0.40,128.76,4,1.31,32.19,376.60,2.92
2026-02-25,"Brand Awareness – Feed Ads",Meta (Facebook),Paid Social,22226,392,1.76,0.72,280.79,6,1.61,46.80,607.70,2.16
2026-02-25,"Brand Awareness – Stories",Meta (Instagram),Paid Social,16706,224,1.34,0.43,96.59,3,1.44,32.20,205.93,2.13
2026-02-25,"B2B Lead Gen – Sponsored Content",LinkedIn,Paid Social,7558,50,0.66,10.99,549.38,2,3.45,274.69,0.00,0.00
2026-02-25,"Product Launch – Video Ads",TikTok,Paid Social,58732,446,0.76,0.28,124.24,3,0.71,41.41,150.12,1.21
